post_id,symbol,stock_name,title,text,truncated,author,user_id,created_at,reply_count,like_count,retweet_count,view_count,fav_count,source,url,crawl_time
351452947,SZ002816,ST和科,,$*ST和科(SZ002816)$ 这下应该洗干净了吧,0,多师傅,5005025439,2025-09-08 02:08:55,1,1,0,24584,0,雪球,https://xueqiu.com/5005025439/351452947,2026-07-08 16:20:24
351454068,SZ002816,ST和科,,和科拿了很久，线的形态终于渐渐走好了，加油吧$*ST和科(SZ002816)$,0,谦杯不醉,7799914152,2025-09-08 02:11:34,4,5,0,29588,0,雪球,https://xueqiu.com/7799914152/351454068,2026-07-08 16:20:24
351456654,SZ002816,ST和科,,*ST和科向着希望前行！！突破前高在九月,0,沙尔豪克,1282848579,2025-09-08 02:18:08,2,7,0,34526,0,Android,https://xueqiu.com/1282848579/351456654,2026-07-08 16:20:24
351556331,SZ002816,ST和科,9月8日*ST和科现611.48万元大宗交易,证券之星消息，9月8日*ST和科发生大宗交易，交易数据如下：大宗交易成交价格18.62元，相对当日收盘价折价0.11%，成交32.84万股，成交金额611.48万元，买方营业部为国信证券股份有限公司上海浦东分公司，卖方营业部为华泰证券股份有限公司上海浦东新区世纪大道证券营业部。近三个月该股共发生5笔大宗交易，合计成交1.29万手，折价成交5笔。该股近期无解禁股上市。截至2025年9月8日收盘，*ST和科(002816)报收于18.64元，上涨5.01%，换手率3.21%，成交量3.21万手，成交额5933.65万元。该股最近90天内无机构评级。以上内容为证券之星据公开信息整理，由AI算法生成（网信算备310104345710301240019号），不构成投资建议。,0,证券之星财经,5187193467,2025-09-08 09:20:04,0,2,0,26548,1,雪球,https://xueqiu.com/5187193467/351556331,2026-07-08 16:20:24
351584964,SZ002816,ST和科,,$*ST和科(SZ002816)$ 看了很多关于和科的讨论，我觉得大家就问几个问题，回答明白了再去想这股到底有没有价值：1、今年证监会一共批准了几只新股IPO？2、阜阳国资委是不是花了近5个亿成为股东？3、年中报业绩是不是在上升趋势，亏损的那小几百万，对比其他ST，这点亏损算事吗？能不能随时抹平？4、新业务是不是有不错的营收和毛利？就说这么多，如果这还看不明白，我只能说：兄弟，洗洗睡吧，真的，股市不适合你，去玩点自己看得懂的吧,0,巴黎铁粉,1373084276,2025-09-08 12:54:23,0,8,0,50076,0,iPhone,https://xueqiu.com/1373084276/351584964,2026-07-08 16:20:24
351638969,SZ002816,ST和科,,*ST和科开盘6分钟涨停板，7天4板。,0,沙尔豪克,1282848579,2025-09-09 01:40:40,1,3,0,29145,0,Android,https://xueqiu.com/1282848579/351638969,2026-07-08 16:20:24
351818854,SZ002816,ST和科,,$*ST和科(SZ002816)$ 走加速了，今天给机会买点吗,0,老珍酒,1311306095,2025-09-10 00:00:37,3,1,0,22727,0,Android,https://xueqiu.com/1311306095/351818854,2026-07-08 16:20:24
351844392,SZ002816,ST和科,,和科，关键位置，冲过去！$*ST和科(SZ002816)$ 压力位，震荡，放量，突破，升空！,0,长牛乱舞,9526081372,2025-09-10 01:58:30,0,7,0,35981,0,雪球,https://xueqiu.com/9526081372/351844392,2026-07-08 16:20:24
352059329,SZ002816,ST和科,,$*ST和科(SZ002816)$ 子公司和科半导体有光刻机的业务。趁跌买回来！,0,修心谨言wy,1505804711,2025-09-11 02:28:39,0,4,0,25124,0,Android,https://xueqiu.com/1505804711/352059329,2026-07-08 16:20:24
352351877,SZ002816,ST和科,,$*ST和科(SZ002816)$ 靠，就几千个散户居然没资金做，这票估计被大佬们拉黑了，每次眼看跃跃欲试要突破就坑人，拉黑了再也不见,0,宇智bo卡卡西,7031892934,2025-09-12 06:50:22,0,4,0,21635,0,iPhone,https://xueqiu.com/7031892934/352351877,2026-07-08 16:20:24
352392539,SZ002816,ST和科,,*ST和科：关于部分应收款项债务重组完成的公告 网页链接,0,*ST和科(SZ002816),0,2025-09-12 10:06:21,5,6,0,25087,1,公告,https://xueqiu.com/S/SZ002816/352392539,2026-07-08 16:20:24
352535863,SZ002816,ST和科,,$*ST和科(SZ002816)$ $*ST步森(SZ002569)$ 下周两只选一只，盘后一路向北，你会选择哪一个呢？,0,本家有来福,1468846270,2025-09-14 05:08:33,3,0,0,38615,0,iPhone,https://xueqiu.com/1468846270/352535863,2026-07-08 16:20:24
352573524,SZ002816,ST和科,,"2025年9月14日晚公告摘要1. ST东时：公司控股股东东方时尚投资持有的公司 56,491,600 股占总股本7.90%全拍卖成功。竞买人安徽荣智以2.99每股拍得。2. *ST和科：部分应收款项债务重组完成，减免深圳汇和富债务1000万，减免之后的欠付债务 2,287.35 万元已偿还。3. ST长园：董事长吴启权先生辞职4. ST云动：回购注销11.7万股5. ST恒久：选举刘荣先生为新任董事长6. ST金刚：终止实施 2023 年限制性股票激励计划7. ST宁科：法院决定对子公司恒力国贸启动预重整。8. *ST国华：变更会计师事务所为深圳广深会计师事务所（普通合伙）9. ST岭南：尹洪卫所持2000万股占总股本1.10%拍卖成功，竞买人以1.669元每股拍得。10. *ST东通：收到事先告知书，19-20年财务造假，22年欺诈发行，可能被强制退市。11. ST天圣：收到事先告知书，17/18年财务造假。12. *ST新潮：收到事先告知书，仅罚款。13. *ST宇顺：公司拟以自筹资金向重大资产重组交易标的公司中恩云科技提供不超过人民币 15亿元的财务资助。14. ST亚太：签署重整投资协议。北京星瑞启源以2.4元获得7500万股。",0,雾隐山,2669205219,2025-09-14 14:40:52,0,5,0,50635,0,Android,https://xueqiu.com/2669205219/352573524,2026-07-08 16:20:24
352631592,SZ002816,ST和科,,$*ST和科(SZ002816)$ 拉上来喘两口气又开始连续潜水了,0,深情的红利小编程师,3000566851,2025-09-15 03:00:05,1,2,0,20655,0,雪球,https://xueqiu.com/3000566851/352631592,2026-07-08 16:20:24
352852821,SZ002816,ST和科,,*ST和科和科连续四阴形态未走坏，10日均价支撑有力，午盘必会有一阳，继续加仓。,0,沙尔豪克,1282848579,2025-09-16 05:22:09,2,6,0,26685,0,Android,https://xueqiu.com/1282848579/352852821,2026-07-08 16:20:24
352962129,SZ002816,ST和科,,$*ST和科(SZ002816)$ 今天18.56确认1f买点的同时，也确认了30f第三类买点，收盘时的18.73，确认了1f二买,0,盟誓月上魂,6029380054,2025-09-16 17:19:43,0,2,0,25586,0,iPhone,https://xueqiu.com/6029380054/352962129,2026-07-08 16:20:22
352988260,SZ002816,ST和科,,*ST和科五阴沿10日线强势调整，再加仓！！,0,沙尔豪克,1282848579,2025-09-17 01:38:06,0,3,0,23296,0,Android,https://xueqiu.com/1282848579/352988260,2026-07-08 16:20:22
